Structure [idcode]	MolRegNo	m	Value	Unit	Type	pValue	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	
efQ\BDDODlmhRZPMBBP@fglBTRVTTTTRTtRtLrrtJcGEgbVSpL@DADSMUAPQTpPatQ|QAy@ !B@Ns~sr^]vEw~K?{OVIw~sr\]vEw~s|^b?h}Hvea]Iyu~tDaEOCoZbO{OqrKGheiwlFZseO{PIqwZREhHqrHsyG{PIywGhg{Pqqt	30957	=	6		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
eaU\JDDODli`RZVPMBBP@eglBTRVTTTTRTtR\TrRbJTSGEgbVWrL@DADSMUTDEEMABGQEqDGd@ !B@HK~[~_]FMw~{?{ozMw~[~]]FMw~kv]B?j?pvn`}Y}u~DOCEWOnZlF_B?f}gpijO?aCgw]Ci\vmgpehOvh}~DF^]\qmgpmhO_aAgwUCi	31272	=	149		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
ehT\BDDODlaco`PMBBP@dGlBTRVTTTTRVbUbvfTXxl|Rr`@`HbYjjji`dFbMbHOH !B@Ns~s}a]Iyw~s?xoqyw~sr\]vEw~s|^b?h}Hvea]Iyu~tDaEOCo~s|\bqzIZ]?{PIqwpF\\b_m@gg\^b_mCGGP	31448	=	39		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
ebV\BDDODliod\PMBBP@gGlBTRVTTTTRTtR\TflrcGEgbVUST@DADSMUUUULEH]DODP^P !B@BpAWu^}JGw~O?y_JKw~Wu\}JKw~Wu^B?i}Pfba}U{u~HE@eGD]ZTGvWW{yW`ajo_bAWO^BYr}lXOE\B_bAWoU^B?bCWOP	30590	=	11		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
ej^TJDDOLde`\RPMBBP@dglBTRVTTTTRTtQabVVaTXxl|Rrn~`@`HbYj`hHjXHPzH^H`|` !BhCs~o{]}RGw~_?y?bGw~o{]}RGw~Os_|?k|Pfhc}mwu~`ABeKB\ZXOz?MpHw@lBfJxS~`K]}FnCjDC_|rxQ~`K^}MpI~`C]}	31270	=	1		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
e`XXBLDLFekg`@`ZP~tGn~gIEEDcDeEDTehmie@QPIIeUPLAUPHQUUM@`TQLQ@E@ !Bq?hBUMlm?ja}eJc~NyK[TozhNrw~JMnRvuK~U|QRNuI~JOxh?bc[TmmR?b`{K_xhvyI~JCoMvuI~JMlm_uX	31308	=	22		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
edR\BDDIM@ek`XPMBBP@fGlBTRVTTTRbRLRaeTrcGE`WdUST@EMTsMUUUSCRGQAqDDT@ !BXJpAos]}ROw~_?z?RGw~otc}M{tPFo{_?k|w@npgM?tPiS]}_hB@?owWo{xw@`IH@c]~`C^}M?q~`C]}MpK~`K^}	30726	=	1		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
ebZ\BDDODliod\PMBBP@gGlBTRVTTTTRTtR\TflrcGEgbVT@DADSMUUUULDatP|QAy@ !B@FpAgy\}ZKw~W?z_jCw~gy_]ZCw~gq]B?n?PVjb}Esu~hM@egH]ZtA]B@Y|WPakO_jBWwTn[VKrPfQ^B_j@WOQ]B?jBWwP	30625	=	31		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
ed\XBLDLAco`P@aZPat@^agIEEDmEDUEDTehmie@QPIiUuPLEEU@aEUTtBCQFqDBT@ !Bq?hBUMlm?ja}eJc~NyK[TiKDTmo~jClm?bc[dmmR?e\{TlQR_bc~JOxhvuIDToxhNrw~JMnR_b`{s]mR_bc[KW}V	31212	=	62		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
foArBHXSu]w`t@RlBTRbbtVbbVUTrfTmxNVjjjijZjjfhQJJTBHMQX`MCRId@@ !BzG[~os]}RGw~ot`B?k~w?Tc}RGu~_{\B?g|w?Xa}m?w~`Da}mpJw@k\B?hAH@k^B@XBw`dc|@XAH?K^B	30602	=	1		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
foArBHXSu]w`t@RlBTRbbtVbbVUTrfTmxNVjjjijZjjfhQJJTBHMQX`MCRId@@ !BzG[~os]}RGw~ot`B?k~w?Tc}RGu~_{\B?g|w?Xa}m?w~`Da}mpJw@k\B?hAH@k^B@XBw`dc|@XAH?K^B	30602	=	1370	nM	IC50	5.86	0.27	13.81	4.72			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
efYRBDDODlmi`RZPMBBP@fglBTRVTTTTRTtR\TrRbNcGEgbVUSWrL@DADSMUTDEDpTH]DWDP^P !B@@HAs}a]Iyw~s?xoqyw~sr\]vEw~s|^b?h~Hvea]qyu~tHaEOClzbL~~W\_Ghmiw_m@gGSNklNgGHcjwvk]~tL^]lAgGho{PIqt	31189	=	4		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
eh\\BDDIM@ico`PMBBP@dGlBTRVTTTRbRrb\rfTXxlB|bZz`@ijfYjjjiai@XcXbBJ@ !BhJpAota}Mww~_?y?Mww~ota}MwtPfoz??c|w?JpgMwtPi[]}?hB@?nh_?S^?_c\B_h@w_S_|?hBwoS\B_hBw_P	30661	=	3		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
ea]\BDDODlmdV^PMBBP@gglBTRVTTTTRTtRtLTjRbNcGEgbVTrtIL@DADSMUUPPTSAPatQ|QAy@ !B@@HAs}a]Iyw~s?xoqyw~sr\]vEw~s|^b?h~Hvea]qyu~tHaEOClzb@GOqrKGhmiwZ[@TcG{PIqtsj{CiqrHzm}jw_mCGg[@YqzK~tB\]	31228	=	7		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
edRXBLDLAco`P@aZPat@^agIEEDehdeELTehmie@QPHixEUuPLDUU@aEUTtP`tQlQ@e@ !Bq?hBUMlm?ja}eJc~NyK[TgjX?j`{K_xhzI[[dbw[Uw{DTcmR_bc~JOxhvuK[ToxhNrw~JMnR_b`{s]mR_bc[KW}V	31144	=	38		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
e`X\BDDIM@amgo`MBBP@g{lBTRVTTTRbRLUfTrcGE`WdT@EMTsMUUTprGQBqDDT@ !BXJpAotc}Mww~o?y?Mww~otc}M{tPFo{_?k|w@npgM?tPiS]}_hB@?c_|@[|w@gz@M{tw?Gz@Mwtw@oz@m{t	30689	=	3		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
